Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/fb/464ce517799c0b01138b14fdb1c9dd/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep3_R1.mzML,/nextflow_runs/work/49/fff17fe9717f1f92c3b4f3077568c3/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep2_R1.mzML,/nextflow_runs/work/05/0ef9e12a9f67c211060c7bab5069a9/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep4_R1.mzML,/nextflow_runs/work/4a/9432495e41bd8bbe87c9d3638261ab/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep3_R1.mzML,/nextflow_runs/work/32/cfdc447731b6ae3eeb8a1a59d80f7d/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep2_R1.mzML,/nextflow_runs/work/a5/0d03ac2c94125adce7ed102f01d7b0/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep1_R1.mzML,/nextflow_runs/work/41/7194089913d508dfafd83cefbf2d44/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep1_R1.mzML,/nextflow_runs/work/87/7227e97a34af4640a32017e9bedaf0/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep4_R1.mzML
Q8CCS6,Q8CCS6,PABP2_MOUSE,Pabpn1,Polyadenylate-binding protein 2,7392.38,13506,12888.1,10230.2,12426.8,10914.5,12025,10317.5
Q8CDA1,Q8CDA1,SAC2_MOUSE,Inpp5f,Phosphatidylinositide phosphatase SAC2,9850.92,10303.2,11403.3,13090.8,9201.66,,,
Q8CDG3,Q8CDG3,VCIP1_MOUSE,Vcpip1,Deubiquitinating protein VCPIP1,14935.9,14444.9,12102,13204.2,12310,27904.5,11901.2,14231
Q8CDN6,Q8CDN6,TXNL1_MOUSE,Txnl1,Thioredoxin-like protein 1,82532.4,79974.2,83930.2,90615.1,93470.4,88864.6,86280.8,87656.6
Q8CE47,Q8CE47,S49A3_MOUSE,Slc49a3,Solute carrier family 49 member A3,,,,6029.99,5335.65,9087.94,,
Q8CE96,Q8CE96,TRM6_MOUSE,Trmt6,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,6722.14,9961.62,10147.4,7380.08,8713.49,10782.1,8954.62,7624.72
Q8CEE7,Q8CEE7,RDH13_MOUSE,Rdh13,Retinol dehydrogenase 13,5252.42,4303.87,,5936.58,4840.63,3962.98,3683.31,8290.96
Q8CEI1,Q8CEI1,BOLA3_MOUSE,Bola3,BolA-like protein 3,173492,208680,182389,177692,203951,214330,262422,204004
Q8CF89,Q8CF89,TAB1_MOUSE,Tab1,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,,,,,2958.42,,1863.61,
Q8CF94,Q8CF94,RHD_MOUSE,Rhd,Blood group Rh(D) polypeptide,12244.9,12752,11684,10010.7,7708.43,8664.21,6823.55,11072.7
Q8CF98,Q8CF98,COL10_MOUSE,Colec10,Collectin-10,3828.88,4085.7,5034.25,1617.91,,8766.03,7107.75,4918.29
Q8CFA2,Q8CFA2,GCST_MOUSE,Amt,"Aminomethyltransferase, mitochondrial",1902.41,,4803.56,,3440.02,4837.01,3433.74,
Q8CFI2,Q8CFI2,UB2R1_MOUSE,Cdc34,Ubiquitin-conjugating enzyme E2 R1,,1340.81,,,2717.36,,,
Q8CFI5,Q8CFI5,SYPM_MOUSE,Pars2,"Probable proline--tRNA ligase, mitochondrial",9685.78,5208.01,2291.85,6167.06,10110.3,16392.1,5337.42,8094.31
Q8CFJ7,Q8CFJ7,S2545_MOUSE,Slc25a45,Solute carrier family 25 member 45,17255.5,22717.6,20814.4,18671.2,15594.9,23740,20960.4,15546.5
Q8CFV4,Q8CFV4,NRN1_MOUSE,Nrn1,Neuritin,16070,22592.3,13468.8,17175.3,21938.9,19106.4,16881.7,22262.5
Q8CFX1,Q8CFX1,G6PE_MOUSE,H6pd,GDH/6PGL endoplasmic bifunctional protein,18011.4,14306.6,12332.8,22071.7,15453.7,19386.8,18105.4,16350.8
Q8CG14,Q8CG14,CS1A_MOUSE,C1s1,Complement C1s-1 subcomponent,8015.85,15033.6,13677.8,13800.2,13853.2,15191.9,13320.8,17449.2
Q8CG16,Q8CG16;Q8CFG9,C1RA_MOUSE,C1ra,Complement C1r-A subcomponent,1933.71,2886.94,4411.56,5039.93,3887.71,3826.59,3062.64,3011.74
Q8CG72,Q8CG72,ADPRS_MOUSE,Adprs,ADP-ribosylhydrolase ARH3,3431.69,,,,3570.62,3607.74,2529.74,6142.89
Q8CG73,Q8CG73,FTM_MOUSE,Rpgrip1l,Protein fantom,9779.27,,8600.17,16484.1,15452.2,,,17355.4
Q8CG76,Q8CG76,ARK72_MOUSE,Akr7a2,Aflatoxin B1 aldehyde reductase member 2,12716.6,9402.24,9156.31,11811.6,14290.2,12806.3,11065.9,8864.66
Q8CGA3,Q8CGA3,LAT4_MOUSE,Slc43a2,Large neutral amino acids transporter small subunit 4,4141.4,1537.03,4041.33,3270.48,3320.84,2258.79,2725.59,2579.25
Q8CGB6,Q8CGB6,TENS2_MOUSE,Tns2,Tensin-2,36200.9,36989.2,33115.1,27289.2,25975,28922.4,19182.7,26972.2
Q8CGC4,Q8CGC4,LS14B_MOUSE,Lsm14b,Protein LSM14 homolog B,,,2435.18,2092.69,2364.25,,2338.23,
Q8CGC7,Q8CGC7,SYEP_MOUSE,Eprs1,Bifunctional glutamate/proline--tRNA ligase,11735,10550.1,9267.39,11081.1,10335.7,9294.04,8668.63,10941.3
Q8CGF1,Q8CGF1,RHG29_MOUSE,Arhgap29,Rho GTPase-activating protein 29,11853.2,8400.79,8386.88,8561.69,8887.53,10124.2,7213.03,11617.6
Q8CGF5,Q8CGF5,TLCD4_MOUSE,Tlcd4,TLC domain-containing protein 4,3649.12,3268.5,,5898.94,1865.18,2145.03,2068.7,3386.57
Q8CGI1,Q8CGI1,F193A_MOUSE,Fam193a,Protein FAM193A,8374.13,,3815.89,7584.27,3432.63,3918.04,4665.41,6106.12
Q8CGK3,Q8CGK3,LONM_MOUSE,Lonp1,"Lon protease homolog, mitochondrial",9108.08,9035.63,13513.2,9194.51,6393.52,6334.81,5127.98,10504
Q8CGU1,Q8CGU1,CACO1_MOUSE,Calcoco1,Calcium-binding and coiled-coil domain-containing protein 1,5759.09,8169.28,6833.85,2484.97,3077.8,6018.34,4248.74,5417.48
Q8CGZ0,Q8CGZ0,CHERP_MOUSE,Cherp,Calcium homeostasis endoplasmic reticulum protein,11577.5,12239.2,,11108.4,11055.9,9823.19,9216.64,7310.83
Q8CH02,Q8CH02,SUGP1_MOUSE,Sugp1,SURP and G-patch domain-containing protein 1,9427.58,2782.13,6171.08,7530.57,5006.13,10442.3,6352.58,7299.47
Q8CH18,Q8CH18,CCAR1_MOUSE,Ccar1,Cell division cycle and apoptosis regulator protein 1,43197.3,43806.1,35050.4,42727.5,39981.9,46624.2,36261,46496.2
Q8CH25,Q8CH25,SLTM_MOUSE,Sltm,SAFB-like transcription modulator,631922,420248,651804,524600,523250,558403,522377,581008
Q8CH40,Q8CH40,NUDT6_MOUSE,Nudt6,Nucleoside diphosphate-linked moiety X motif 6,8168.5,12825.6,6727.34,13724.6,13847.2,17209.7,10945.3,10031.7
Q8CH62,Q8CH62,LTO1_MOUSE,Lto1,Protein LTO1 homolog,29358.1,53289.1,39419.7,44772.3,63431.3,39808.1,53321.5,30986.8
Q8CHC4,Q8CHC4,SYNJ1_MOUSE,Synj1,Synaptojanin-1,13384.7,11919.7,15378.4,14425.2,8702.9,7577.42,8301.74,12252.5
Q8CHE4,Q8CHE4,PHLP1_MOUSE,Phlpp1,PH domain leucine-rich repeat-containing protein phosphatase 1,,2853.88,,,1258.44,,1212.51,737.682
Q8CHG3,Q8CHG3,GCC2_MOUSE,Gcc2,GRIP and coiled-coil domain-containing protein 2,14821.8,12215,11798.2,12195.5,10101.4,11824.4,11246.2,10682
Q8CHH9,Q8CHH9,SEPT8_MOUSE,Septin8,Septin-8,37746.9,36268.2,38081.4,35648.4,40846.2,24871.8,34002.9,37362.5
Q8CHK3,Q8CHK3,MBOA7_MOUSE,Mboat7,Lysophospholipid acyltransferase 7,4636,10033.7,5945.52,6674.68,5310.08,5563.85,11737.1,10054
Q8CHP5,Q8CHP5,PYM1_MOUSE,Pym1,Partner of Y14 and mago,194450,221168,199015,212486,212082,230848,212686,188769
Q8CHP6,Q8CHP6,PHC3_MOUSE,Phc3,Polyhomeotic-like protein 3,3990.8,4058.29,2803.87,3615.13,4890.07,5473.97,4029.38,5927.14
Q8CHP8,Q8CHP8,PGP_MOUSE,Pgp,Glycerol-3-phosphate phosphatase,307587,304782,323575,324743,324396,363934,309195,311080
Q8CHQ9,Q8CHQ9,NT8F2_MOUSE,Nat8f2,N-acetyltransferase family 8 member 2,9849.41,10747.6,8812.26,11492.1,9520.15,10369.2,9220.78,7821.37
Q8CHR6,Q8CHR6,DPYD_MOUSE,Dpyd,Dihydropyrimidine dehydrogenase [NADP(+)],21655.4,19906.5,23594.2,21297.9,20040.6,20530.1,20178.5,23544.1
Q8CHT0,Q8CHT0,AL4A1_MOUSE,Aldh4a1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",29946.5,18487.4,23919.1,27467.1,18387.4,21151,20026.7,23964.2
Q8CHT1,Q8CHT1,NGEF_MOUSE,Ngef,Ephexin-1,6902.68,7058.04,7973.65,8933.62,7503.45,7705.34,6099.79,8350.02
Q8CHU3,Q8CHU3,EPN2_MOUSE,Epn2,Epsin-2,6075.66,4448.47,3612.5,4150.15,4972.5,6060.71,7183.03,7891.49
Q8CHW4,Q8CHW4,EI2BE_MOUSE,Eif2b5,Translation initiation factor eIF-2B subunit epsilon,558.067,,,1636.47,881.203,,1502.03,
Q8CHY6,Q8CHY6,P66A_MOUSE,Gatad2a,Transcriptional repressor p66 alpha,19155.7,18409.6,19742.5,21616.6,17647.1,14475.2,14615.4,18477.1
Q8CI08,Q8CI08,SLAI2_MOUSE,Slain2,SLAIN motif-containing protein 2,34168.4,28116,28319.8,35198.5,30102.3,37617.2,31920.4,32114.7
Q8CI32,Q8CI32,BAG5_MOUSE,Bag5,BAG family molecular chaperone regulator 5,27903.1,23231.1,26900.9,21406.7,24059.3,27706.5,23891.5,27646.4
Q8CI51,Q8CI51,PDLI5_MOUSE,Pdlim5,PDZ and LIM domain protein 5,521487,485201,496001,497052,509867,519911,554090,513237
Q8CI59,Q8CI59,STEA3_MOUSE,Steap3,Metalloreductase STEAP3,8808.57,8478.66,6643.18,8739.14,8593.63,7914.86,6498.75,7565.87
Q8CI61,Q8CI61,BAG4_MOUSE,Bag4,BAG family molecular chaperone regulator 4,4301.93,675.429,3671.16,,1308.55,4427.22,1849.35,5771.08
Q8CI75,Q8CI75,DI3L2_MOUSE,Dis3l2,DIS3-like exonuclease 2,9608.53,4928.13,7705.87,5842.17,6299.32,9233.46,5860.17,7500.27
Q8CI94,Q8CI94,PYGB_MOUSE,Pygb,"Glycogen phosphorylase, brain form",7820.09,,,,3018.54,,5780.67,
Q8CI94;Q9ET01,Q9ET01;Q9WUB3;Q8CI94,PYGB_MOUSE;PYGL_MOUSE,Pygb;Pygl,"Glycogen phosphorylase, brain form",110704,109321,113311,98116.2,116882,90102.5,123986,87879.6
Q8CI95,Q8CI95,OSB11_MOUSE,Osbpl11,Oxysterol-binding protein-related protein 11,,2036.75,2046.66,1945.07,1593.18,1401.85,2404.21,1055.62
Q8CIB5,Q8CIB5,FERM2_MOUSE,Fermt2,Fermitin family homolog 2,3721.24,4973.72,,2456.12,2611.9,854.703,1182.96,2630.24
Q8CIB6,Q8CIB6,TM230_MOUSE,Tmem230,Transmembrane protein 230,107168,73743.6,104126,94629.6,67726.8,70474.1,61472.5,97066.4
Q8CIF4,Q8CIF4,BTD_MOUSE,Btd,Biotinidase,245176,200289,241595,260426,262448,256548,198544,226192
Q8CIF6,Q8CIF6,SIDT2_MOUSE,Sidt2,SID1 transmembrane family member 2,18190.6,23385.5,26497.6,28142.6,20935.5,20401,20268.1,18325.9
Q8CIH9,Q8CIH9,PUR1_MOUSE,Ppat,Amidophosphoribosyltransferase,29618.1,36914.7,36101.3,33110.7,37908.2,37645.4,38966.6,33775.3
Q8CIM7,Q8CIM7,CP2DQ_MOUSE,Cyp2d26,Cytochrome P450 2D26,219795,176277,194285,211177,217997,211814,204459,182684
Q8CIN4,Q8CIN4,PAK2_MOUSE,Pak2,Serine/threonine-protein kinase PAK 2,29559,31169,34519.6,25811.4,26208,32567.3,28358.7,27683
Q8CIZ8,Q8CIZ8,VWF_MOUSE,Vwf,von Willebrand factor,34872.6,36047.9,36766.1,40023.4,34374.8,36958.4,26042.4,41059.1
Q8CJ19,Q8CJ19,MICA3_MOUSE,Mical3,[F-actin]-monooxygenase MICAL3,1667.21,1138.82,1536.1,6752.98,2570.79,5615.18,1707.19,4392.34
Q8CJ61,Q8CJ61,CKLF4_MOUSE,Cmtm4,CKLF-like MARVEL transmembrane domain-containing protein 4,33113.3,27239,31065.5,31949,32630.3,35200.3,28086.1,28523.5
Q8CJF7,Q8CJF7,ELYS_MOUSE,Ahctf1,Protein ELYS,8175.32,9210.76,9902.54,9052.96,9745.95,9620.78,9521.2,8463.98
Q8CJF9,Q8CJF8;Q8CJF9,AGO3_MOUSE,Ago3,Protein argonaute-3,6812.63,16062.1,12098.7,15145.4,14048.9,15583.6,13453.3,11282.7
Q8CJF9;Q8CJG0;Q8CJG1,Q8CJF9;Q8CJG0;Q8CJG1,AGO1_MOUSE;AGO2_MOUSE;AGO3_MOUSE,Ago1;Ago2;Ago3,Protein argonaute-3,24363.5,16857.8,21634.1,24338.2,28375.9,18219,20507.8,19981.2
Q8CJF9;Q8CJG1,Q8CJF8;Q8CJF9;Q8CJG1,AGO1_MOUSE;AGO3_MOUSE,Ago1;Ago3,Protein argonaute-3,11921.8,7956.5,11254.7,16278.2,11918,12533.3,10309.8,11733.8
Q8CJG0,Q8CJG0,AGO2_MOUSE,Ago2,Protein argonaute-2,222971,177634,189330,206445,234602,219810,225351,224023
Q8CJG0;Q8CJG1,Q8CJG0;Q8CJG1,AGO1_MOUSE;AGO2_MOUSE,Ago1;Ago2,Protein argonaute-2,2224.87,5557.48,5402.8,4482.11,10412.8,10905.8,12847.6,3510.01
Q8CJG1,Q8CJG1,AGO1_MOUSE,Ago1,Protein argonaute-1,29448.7,31430.2,27076,37462,31959.8,31523.5,33872.6,45143.4
Q8CJH3,Q8CJH3,PLXB1_MOUSE,Plxnb1,Plexin-B1,6720.13,6166.72,6079.4,5707.25,6502.23,6658.61,4839.33,7802.43
Q8JZK9,Q8JZK9,HMCS1_MOUSE,Hmgcs1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",10957.7,12382.3,12733.1,6806.98,8590.11,10597.9,10543.7,9670.05
Q8JZL3,Q8JZL3,THTPA_MOUSE,Thtpa,Thiamine-triphosphatase,9231.09,3850.32,8160.74,5331.69,,,7004.63,
Q8JZN5,Q8JZN5,ACAD9_MOUSE,Acad9,"Complex I assembly factor ACAD9, mitochondrial",138193,153979,137584,161728,138757,152734,146481,139090
Q8JZQ2,Q8JZQ2,AFG32_MOUSE,Afg3l2,AFG3-like protein 2,23220.8,22526.1,22821.5,25534.8,29387.6,30035.6,24203.3,35588.8
Q8JZQ9,Q8JZQ9,EIF3B_MOUSE,Eif3b,Eukaryotic translation initiation factor 3 subunit B,14628.7,13512.3,12943.5,17034.3,11052.7,13379.2,10813.1,11393.8
Q8JZR0,Q8JZR0,ACSL5_MOUSE,Acsl5,Long-chain-fatty-acid--CoA ligase 5,7617.65,8211.13,8182.56,7932.03,9312.89,8129.7,9155.71,9329.09
Q8JZS0,Q8JZS0,LIN7A_MOUSE,Lin7a,Protein lin-7 homolog A,8845.55,11798.5,9433.43,11946.1,12850.4,15462.3,12485.1,12642.2
Q8JZU0,Q8JZU0,NUD13_MOUSE,Nudt13,"NAD(P)H pyrophosphatase NUDT13, mitochondrial",15348,16104.1,8458.04,13660.2,9949.36,10722.7,15037.1,10203
Q8JZU2,Q8JZU2,TXTP_MOUSE,Slc25a1,"Tricarboxylate transport protein, mitochondrial",1.13E+06,1.38E+06,1.12E+06,1.34E+06,1.33E+06,1.24E+06,1.33E+06,1.18E+06
Q8JZV7,Q8JZV7,NAGA_MOUSE,Amdhd2,N-acetylglucosamine-6-phosphate deacetylase,4851.17,,,6882.27,7108.96,11862.1,9165.55,8930.26
Q8JZV9,Q8JZV9,DHRS6_MOUSE,Bdh2,Dehydrogenase/reductase SDR family member 6,6800.83,4517.81,,6299.44,7042.61,7451.22,,11003.2
Q8JZX4,Q8JZX4,SPF45_MOUSE,Rbm17,Splicing factor 45,10730.3,10960.1,11174.9,11087.5,10596.5,11072.9,9372.85,11588.1
Q8JZY2,Q8JZY2,COMDA_MOUSE,Commd10,COMM domain-containing protein 10,7969.78,10253,14670.2,,8787.98,12004.6,8379.86,11358.5
Q8JZZ0,Q8JZZ0,UD3A2_MOUSE,Ugt3a2,UDP-glucuronosyltransferase 3A2,46122.2,46729,44278.6,39118.6,43500.2,42917.1,42572.4,47006.6
Q8JZZ6,Q8JZZ6,AMERL_MOUSE,Ammecr1l,AMMECR1-like protein,,4171.12,7387.17,10609,5125.27,4673.73,7519.24,5922.48
Q8JZZ7,Q8JZZ7,AGRL2_MOUSE,Adgrl2,Adhesion G protein-coupled receptor L2,,3257.55,3601.16,3865.27,3563.27,8795,2823.54,3049.35
Q8K003,Q8K003,TMA7_MOUSE,Tma7,Translation machinery-associated protein 7,42531.9,28754.4,31796.1,34847.1,39012.1,27004.4,32818.3,30669.6
Q8K010,Q8K010,OPLA_MOUSE,Oplah,5-oxoprolinase,,2186.36,6388.02,4170.28,2961.27,5592.94,5231.11,5019.69
Q8K019,Q8K019,BCLF1_MOUSE,Bclaf1,Bcl-2-associated transcription factor 1,65096.8,63025.6,65134.8,60472.8,71839.4,56574.1,62005.5,62166.3
Q8K021,Q8K021,SCAM1_MOUSE,Scamp1,Secretory carrier-associated membrane protein 1,6365.88,5895.14,8403.08,7168.22,8813.41,3724.4,8912.67,6026.97
Q8K039,Q8K039,K1143_MOUSE,,Uncharacterized protein KIAA1143 homolog,39143.6,29510.1,27130.5,36802,28111.8,33527.4,27648.4,40505.2
Q8K0B2,Q8K0B2,LMBD1_MOUSE,Lmbrd1,Lysosomal cobalamin transport escort protein LMBD1,8353.39,11706,10651.5,11378.5,9542.86,7321.26,7733.9,12484.2
Q8K0C4,Q8K0C4,CP51A_MOUSE,Cyp51a1,Lanosterol 14-alpha demethylase,9031.43,8082.28,9416.35,7573.2,7661.92,8043.32,9930.04,8778.36
Q8K0C8,Q8K0C8,COX19_MOUSE,Cox19,Cytochrome c oxidase assembly protein COX19,21164.3,17679.9,23824.3,19969.5,21507.3,17963.4,16922,15028.8
Q8K0D7,Q8K0D7,GET1_MOUSE,Get1,Guided entry of tail-anchored proteins factor 1,6183.26,3567.62,9525.74,5935,4835.3,3391.3,3085.48,
Q8K0E8,Q8K0E8,FIBB_MOUSE,Fgb,Fibrinogen beta chain,6668.17,8427.83,7544.88,9842.16,7980.89,9650.69,8901.34,9497.91
Q8K0H1,Q8K0H1,S47A1_MOUSE,Slc47a1,Multidrug and toxin extrusion protein 1,3878.75,7599.74,7293.82,6881.47,5952.16,5871.25,4144.9,7390.16
Q8K0H5,Q8K0H5,TAF10_MOUSE,Taf10,Transcription initiation factor TFIID subunit 10,3611.65,2746.07,2241.92,7704.46,4507.25,5431.75,5022.76,5014.43
Q8K0L2,Q8K0L2,ENTP8_MOUSE,Entpd8,Ectonucleoside triphosphate diphosphohydrolase 8,10578.1,14611.7,14156.1,13508.1,11493.3,13552.8,11935.4,12388.3
Q8K0Q5,Q8K0Q5,RHG18_MOUSE,Arhgap18,Rho GTPase-activating protein 18,6008.19,4327.28,6385.56,5461.27,5287.53,3263.72,3305.39,8680.58
Q8K0R6,Q8K0R6,GLTD2_MOUSE,Gltpd2,Glycolipid transfer protein domain-containing protein 2,14201.1,17521.3,13486.7,14501.1,11760.1,15825.9,15908.8,12546.3
Q8K0S0,Q8K0S0,PHYIP_MOUSE,Phyhip,Phytanoyl-CoA hydroxylase-interacting protein,153707,124360,93904.6,139339,134526,118034,124081,140258
Q8K0T0,Q8K0T0,RTN1_MOUSE,Rtn1,Reticulon-1,9917.52,7270.46,7162.52,11623.8,6938.35,9689.85,6460.37,9549.91
Q8K0T2,Q8K0T2,DC2L1_MOUSE,Dync2li1,Cytoplasmic dynein 2 light intermediate chain 1,46232.2,51134.4,38554.8,41457,,,,51900.5
Q8K0U4,Q8K0U4,HS12A_MOUSE,Hspa12a,Heat shock 70 kDa protein 12A,3553.17,1528.29,4111.11,3291.53,3592.92,5368.9,2310.47,4920.78
Q8K0V4,Q8K0V4,CNOT3_MOUSE,Cnot3,CCR4-NOT transcription complex subunit 3,18766.1,13962,21544.9,18889.8,19622.2,22802.8,16278.6,15880.5
Q8K0Y7,Q8K0Y7,PAXX_MOUSE,Paxx,Protein PAXX,16583.6,19562.8,19446.8,20866.9,23294.8,22060.1,21049.4,18259
Q8K124,Q8K124,PKHO2_MOUSE,Plekho2,Pleckstrin homology domain-containing family O member 2,2655.54,3705.02,7228.78,5511.16,5549.74,2087.91,7236.24,4497.29
Q8K135,Q8K135,K319L_MOUSE,Kiaa0319l,Dyslexia-associated protein KIAA0319-like protein,12639.6,4356.65,8746.56,10361,9333.75,8886.33,7559.55,12572.9
Q8K136,Q8K136,SCNM1_MOUSE,Scnm1,Sodium channel modifier 1,,6478.53,3693.75,5357.06,4092.04,2884.19,2720.14,1699.72
Q8K157,Q8K157,GALM_MOUSE,Galm,Galactose mutarotase,3345.94,3989.4,4229.69,2792.22,3797.72,5667.2,7943.93,6398.64
Q8K182,Q8K182,CO8A_MOUSE,C8a,Complement component C8 alpha chain,9890.73,5293.77,10542.7,7154.08,4063.51,4603.01,3939.81,5881.84
Q8K183,Q8K183,PDXK_MOUSE,Pdxk,Pyridoxal kinase,66951.4,43844,36945.3,62074.5,47408.4,56867.5,83689.6,76606.3
Q8K194,Q8K194,SNR27_MOUSE,Snrnp27,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein,4377.32,2874.61,4174.23,5316.62,4245.13,3667.71,3156.33,4385.77
Q8K199,Q8K199,COXM2_MOUSE,Cmc2,COX assembly mitochondrial protein 2 homolog,146445,166335,120964,177418,174745,189670,194137,108233
Q8K1A0,Q8K1A0,METL5_MOUSE,Mettl5,rRNA N6-adenosine-methyltransferase METTL5,,,,,925.827,1085.05,,
Q8K1A5,Q8K1A5,TM41B_MOUSE,Tmem41b,Transmembrane protein 41B,,6664.35,8929.37,6882.09,6244.29,4490.41,9264.45,13707.2
Q8K1B8,Q8K1B8,URP2_MOUSE,Fermt3,Fermitin family homolog 3,9773.75,7747.61,9031.79,5845.62,8906.09,9202.25,7123.26,8949.62
Q8K1E0,Q8K1E0,STX5_MOUSE,Stx5,Syntaxin-5,,6891.64,,4399.33,2240.19,,3494.25,3141.32
Q8K1E6,Q8K1E6,ALKB3_MOUSE,Alkbh3,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,946.749,1832.55,4881.02,2453.38,2347.94,3462.67,2333.13,4455.89
Q8K1H1,Q8K1H1,TDRD7_MOUSE,Tdrd7,Tudor domain-containing protein 7,15318.8,19971.3,24569,22420.6,18835.7,21782.7,14540.6,11416
Q8K1H7,Q8K1H7,T11L2_MOUSE,Tcp11l2,T-complex protein 11-like protein 2,,,,,1493.19,1502.7,1335.88,2137.83
Q8K1I3,Q8K1I3,SPP24_MOUSE,Spp2,Secreted phosphoprotein 24,,6216.68,10789.6,10437.9,8559.96,7414.8,6043.3,
Q8K1I7,Q8K1I7,WIPF1_MOUSE,Wipf1,WAS/WASL-interacting protein family member 1,44964.6,45516,47195.5,54206.8,52046.2,37801.2,44135.8,43590.3
Q8K1J5,Q8K1J5,SDE2_MOUSE,Sde2,Splicing regulator SDE2,10299.5,10502.5,8772.46,7845.86,8546.97,8239.6,4758.84,7073.91
Q8K1L5,Q8K1L5,PP1RB_MOUSE,Ppp1r11,E3 ubiquitin-protein ligase PPP1R11,13037,10798.1,9182.56,7129.41,18752.9,12957.9,14655.8,11159.3
Q8K1M6,Q8K1M6,DNM1L_MOUSE,Dnm1l,Dynamin-1-like protein,7855.76,2869.49,7421.99,6012.54,6429.68,5787.55,4347.81,8392.45
Q8K1N1,Q8K1N1,PLPL8_MOUSE,Pnpla8,Calcium-independent phospholipase A2-gamma,6294.72,4660.51,9315.86,6208.12,6311.05,5867.71,7241.29,
Q8K1N2,Q8K1N2,PHLB2_MOUSE,Phldb2,Pleckstrin homology-like domain family B member 2,13366.6,14161.1,13251.5,16030.8,14511,12703.9,13203.5,13888
Q8K1N4,Q8K1N4,SPAS2_MOUSE,Spats2,Spermatogenesis-associated serine-rich protein 2,2884.34,3146.65,3219.98,3625.55,2057.59,2784.84,2035.38,1599.61
Q8K1Z0,Q8K1Z0,COQ9_MOUSE,Coq9,"Ubiquinone biosynthesis protein COQ9, mitochondrial",144427,146960,141014,131420,141134,138653,157712,137918
Q8K201,Q8K201,KCT2_MOUSE,Kct2,Keratinocyte-associated transmembrane protein 2,19326.9,15799.1,18927.6,13712.9,15219.4,18958.4,14771,15308.3
Q8K211,Q8K211,COPT1_MOUSE,Slc31a1,High affinity copper uptake protein 1,,2643.17,,1803.45,6816.56,3262.07,8498.95,1997.77
Q8K212,Q8K212,PACS1_MOUSE,Pacs1,Phosphofurin acidic cluster sorting protein 1,3835.64,,,1254.17,1604.19,2766.1,2689.63,
Q8K215,Q8K215,LYRM4_MOUSE,Lyrm4,LYR motif-containing protein 4,16568.2,15270.8,11216.6,12548.7,15127.3,17087.2,16771.3,13136
Q8K268,Q8K268,ABCF3_MOUSE,Abcf3,ATP-binding cassette sub-family F member 3,1394.9,1166.94,,,,,,1448
Q8K273,Q8K273,EMC5_MOUSE,Mmgt1,ER membrane protein complex subunit 5,25755.6,24429.3,26254.7,26701,20755.2,25860.6,19194.9,18453.5
Q8K274,Q8K274,KT3K_MOUSE,Fn3krp,Ketosamine-3-kinase,8046.02,11898.1,9707.39,8897.98,8466.59,9543.32,11663.1,10523.5
Q8K296,Q8K296,MTMR3_MOUSE,Mtmr3,Myotubularin-related protein 3,13631.3,36013.4,20180.4,9143.06,10063.3,42771.8,11907.9,
Q8K2B3,Q8K2B3,SDHA_MOUSE,Sdha,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",979700,756362,914954,873881,982956,852656,987536,955730
Q8K2C6,Q8K2C6,SIR5_MOUSE,Sirt5,"NAD-dependent protein deacylase sirtuin-5, mitochondrial",10235.6,10295.1,11936.3,14814.2,7431.94,5589.2,6876.34,9209.13
Q8K2C7,Q8K2C7,OS9_MOUSE,Os9,Protein OS-9,12010.5,7199.84,11679.1,11746.3,9212.92,11241.6,12372.9,13370.8
Q8K2D3,Q8K2D3,EDC3_MOUSE,Edc3,Enhancer of mRNA-decapping protein 3,4117.25,4307.75,1570.89,,2227.95,1916.19,1082.34,3820.61
Q8K2F0,Q8K2F0,BRD3_MOUSE,Brd3,Bromodomain-containing protein 3,,,6860.8,2953.86,5441.18,5045.05,6007.24,
Q8K2F0;Q9ESU6,Q9ESU6;Q8K2F0,BRD3_MOUSE;BRD4_MOUSE,Brd3;Brd4,Bromodomain-containing protein 3,3811.34,3351.51,,3834.43,6156.97,6008.22,4496.71,3673.54
Q8K2F8,Q8K2F8,LS14A_MOUSE,Lsm14a,Protein LSM14 homolog A,11909.8,7182.62,7112.4,7168.39,10246.8,14695.5,13825.5,7157.26
