Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/7d/08d2783d1084814af8165d1e2d97c1/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep2_R1.mzML,/nextflow_runs/work/28/9bec088bcb7fb3843db5f7c46e0085/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep4_R1.mzML,/nextflow_runs/work/0d/46a1e273674bf39ac22939255c5c1b/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep3_R1.mzML,/nextflow_runs/work/51/3e8009125250b1475b98133587a8a2/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep3_R1.mzML,/nextflow_runs/work/bc/68df10861519f9d6dc989ed6e132e5/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep1_R1.mzML,/nextflow_runs/work/c9/ab0965fec1300baecf563186c1a3bd/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep1_R1.mzML,/nextflow_runs/work/e5/8aeba0633abd65fc9dc44170acd0ec/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep2_R1.mzML,/nextflow_runs/work/7d/d93e795d31ba4e43bd910b97384596/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep4_R1.mzML
Q8BGH2,Q8BGH2,SAM50_MOUSE,Samm50,Sorting and assembly machinery component 50 homolog,272409,321827,361145,311328,376733,376480,393743,352610
Q8BGI4,Q8BGI4,FA13A_MOUSE,Fam13a,Protein FAM13A,14082,,10246.7,,,2532.82,2573.63,3795.49
Q8BGI5,Q8BGI5,PEX26_MOUSE,Pex26,Peroxisome assembly protein 26,16228.5,17124.5,14714.3,17397,17271.3,16265.8,14234.1,18164.7
Q8BGL3,Q8BGL3,ST2A8_MOUSE,Sult2a8,Sulfotransferase 2A8,215124,219769,243529,199207,218846,220531,238261,235071
Q8BGN2,Q8BGN2,CD033_MOUSE,D3Ertd751e,UPF0462 protein C4orf33 homolog,58260.3,50269.3,33188.7,42405.5,62832.7,53669.9,52248.9,44484.1
Q8BGP6,Q8BGP6,S2540_MOUSE,Slc25a40,Probable mitochondrial glutathione transporter SLC25A40,21700.6,25710,22460.1,26080.4,29306.9,23379.2,29602.5,21489.2
Q8BGQ1,Q8BGQ1,SPE39_MOUSE,Vipas39,Spermatogenesis-defective protein 39 homolog,3952.56,2104.66,,,1571.95,2362.09,4322.61,1944.97
Q8BGQ7,Q8BGQ7,SYAC_MOUSE,Aars1,"Alanine--tRNA ligase, cytoplasmic",247745,293250,279117,274910,284251,278953,252926,307842
Q8BGR2,Q8BGR2,LRC8D_MOUSE,Lrrc8d,Volume-regulated anion channel subunit LRRC8D,8242.73,14674.2,9938.06,10519.2,14943.1,13024.2,13669,11983.3
Q8BGR6,Q8BGR6,ARL15_MOUSE,Arl15,ADP-ribosylation factor-like protein 15,19075,17367.7,10187.7,17696.2,23581.9,15594.3,15614.2,20167.3
Q8BGR9,Q8BGR9,UBCP1_MOUSE,Ublcp1,Ubiquitin-like domain-containing CTD phosphatase 1,27476.5,31660.7,34673,29261.2,39901.1,45976,31682.3,36691.5
Q8BGS1,Q8BGS1,E41L5_MOUSE,Epb41l5,Band 4.1-like protein 5,8189.05,6911.8,4987.4,8811.94,12667.4,9960.68,11277.8,13652
Q8BGS2,Q8BGS2,BOLA2_MOUSE,Bola2,BolA-like protein 2,32041.3,43097.5,45273.7,47841.5,57395.6,88768.1,81201.8,39972.6
Q8BGS7,Q8BGS7,CEPT1_MOUSE,Cept1,Choline/ethanolaminephosphotransferase 1,19292.4,37235.4,33791,47881.9,45250.1,38066,45811,44955.3
Q8BGT0,Q8BGT0,OSTM1_MOUSE,Ostm1,Osteopetrosis-associated transmembrane protein 1,16903.4,15728.7,18814.5,18280.3,18937.8,19015.5,18863,21489.7
Q8BGT5,Q8BGT5,ALAT2_MOUSE,Gpt2,Alanine aminotransferase 2,125202,121866,123665,130882,133961,132085,131100,122676
Q8BGT5;Q8QZR5,Q8BGT5;Q8QZR5,ALAT1_MOUSE;ALAT2_MOUSE,Gpt;Gpt2,Alanine aminotransferase 2,199640,909999,979734,643159,830051,1.20E+06,772278,1.04E+06
Q8BGT7,Q8BGT7,SPF30_MOUSE,Smndc1,Survival of motor neuron-related-splicing factor 30,48021.2,41933,37849.4,46024.2,35508.8,46920.4,39314.4,44241.7
Q8BGU5,Q8BGU5,CCNY_MOUSE,Ccny,Cyclin-Y,19734.9,16354.9,19126.8,22698.8,20677.9,16818.4,17003.5,15538.2
Q8BGV0,Q8BGV0,SYNM_MOUSE,Nars2,"Probable asparagine--tRNA ligase, mitochondrial",30907.9,42693.2,36437.7,38968.6,37831.4,38766,38501.4,40915.2
Q8BGV8,Q8BGV8,MID51_MOUSE,Mief1,Mitochondrial dynamics protein MID51,,2283.72,3092.9,2780.14,3034.58,5194.64,2178.08,2620.03
Q8BGW1,Q8BGW1,FTO_MOUSE,Fto,Alpha-ketoglutarate-dependent dioxygenase FTO,15266.4,21586.6,21030.9,20332.7,21939.8,21696.9,21229,21329.8
Q8BGW5;Q8R2Y9,Q8BGW5;Q8R2Y9,SOSB1_MOUSE;SOSB2_MOUSE,Nabp1;Nabp2,SOSS complex subunit B2,,9797.62,10996.7,,13018.3,15062.9,10857.8,12736.1
Q8BGX2,Q8BGX2,TIM29_MOUSE,Timm29,Mitochondrial import inner membrane translocase subunit Tim29,64465.5,65258.4,69356.9,76879.1,85023.9,84642.5,99843.6,76873.3
Q8BGY7,Q8BGY7,F210A_MOUSE,Fam210a,Protein FAM210A,236795,313627,362802,324372,296859,316076,366599,345098
Q8BH00,Q8BH00,AL8A1_MOUSE,Aldh8a1,2-aminomuconic semialdehyde dehydrogenase,566724,796536,793784,735938,821523,869239,785257,811388
Q8BH04,Q8BH04,PCKGM_MOUSE,Pck2,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",10739.4,10498,8724.8,7633.26,9550.62,9681.87,9674.53,8133.28
Q8BH15,Q8BH15,CNO10_MOUSE,Cnot10,CCR4-NOT transcription complex subunit 10,6453.79,7142.98,,6160.01,4395.81,3540.9,4593.07,4395.36
Q8BH18,Q8BH18,TM117_MOUSE,Tmem117,Transmembrane protein 117,10788.8,,,,7345.58,22719.9,11099.1,
Q8BH24,Q8BH24,TM9S4_MOUSE,Tm9sf4,Transmembrane 9 superfamily member 4,152867,124770,133094,133394,136278,124356,131471,122053
Q8BH27,Q8BH27,MEGF9_MOUSE,Megf9,Multiple epidermal growth factor-like domains protein 9,,,,2438.41,,,,2719.59
Q8BH31,Q8BH31,MFSD8_MOUSE,Mfsd8,Major facilitator superfamily domain-containing protein 8,,10171.6,12311.7,7006.27,11992.7,9094.14,13398.2,10064.3
Q8BH35,Q8BH35,CO8B_MOUSE,C8b,Complement component C8 beta chain,41430,47746.2,45989.1,42935.2,48463.8,47667.3,52370.8,47845.8
Q8BH43,Q8BH43,WASF2_MOUSE,Wasf2,Actin-binding protein WASF2,259881,224669,209836,229471,239813,204555,213883,228271
Q8BH48,Q8BH48,UBAP1_MOUSE,Ubap1,Ubiquitin-associated protein 1,5030.69,5198.89,4571.31,4938.98,6568.43,6351.13,6768.66,5260.5
Q8BH50,Q8BH50,ARK2N_MOUSE,ARK2N,Protein ARK2N,10403,11568.7,6454.23,8438.51,9402.13,9236.87,10217.8,8892.43
Q8BH51,Q8BH51,COX14_MOUSE,Cox14,Cytochrome c oxidase assembly protein COX14,81281.7,59715.8,59447.2,71182.2,78832.5,72141,72354.4,56620.8
Q8BH55,Q8BH55,THNS1_MOUSE,Thnsl1,Threonine synthase-like 1,26557.5,26951.5,25259.9,23168.8,26077.6,23803.4,25988.4,29038.1
Q8BH57,Q8BH57,WDR48_MOUSE,Wdr48,WD repeat-containing protein 48,56085.8,54142.8,59490.8,49425.1,63521.7,57586.1,58907.5,52353.7
Q8BH58,Q8BH58,TIPRL_MOUSE,Tiprl,TIP41-like protein,54511.4,55043.2,57352.9,54226.2,59899.4,47842.5,55957.2,55758.4
Q8BH59,Q8BH59,S2512_MOUSE,Slc25a12,"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial",303016,276964,303389,317238,302843,263884,301533,274731
Q8BH59;Q9QXX4,Q8BH59;Q9QXX4,S2512_MOUSE;S2513_MOUSE,Slc25a12;Slc25a13,"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial",2.03E+06,2.17E+06,2.51E+06,2.15E+06,2.30E+06,2.46E+06,2.37E+06,2.19E+06
Q8BH60,Q8BH60,GOPC_MOUSE,Gopc,Golgi-associated PDZ and coiled-coil motif-containing protein,18726.8,20407.5,21710.5,23103.5,25651.3,21114.6,25017.7,24322.2
Q8BH61,Q8BH61,F13A_MOUSE,F13a1,Coagulation factor XIII A chain,53595.5,47212,46756,51429.4,50498,39092.6,50292.2,44408.6
Q8BH64,Q8BH64,EHD2_MOUSE,Ehd2,EH domain-containing protein 2,,,1757.04,4195.1,,,3994.2,5130.78
Q8BH65,Q8BH65,DEN6A_MOUSE,Dennd6a,Protein DENND6A,12777.9,13408.3,16936.5,17297.5,4638.72,17938.5,12736.9,15942.8
Q8BH69,Q8BH69,SPS1_MOUSE,Sephs1,"Selenide, water dikinase 1",1.04E+06,850444,756043,1.10E+06,791506,660970,881903,817000
Q8BH86,Q8BH86,GLUCM_MOUSE,Dglucy,"D-glutamate cyclase, mitochondrial",1.08E+06,1.14E+06,1.16E+06,1.15E+06,1.26E+06,1.16E+06,1.24E+06,1.22E+06
Q8BH95,Q8BH95,ECHM_MOUSE,Echs1,"Enoyl-CoA hydratase, mitochondrial",2.63E+06,2.82E+06,2.71E+06,2.33E+06,2.69E+06,2.53E+06,2.33E+06,2.69E+06
Q8BH97,Q8BH97,RCN3_MOUSE,Rcn3,Reticulocalbin-3,56588.3,45755.9,44019.4,52874.4,48836.7,57347.4,58254.5,56822.7
Q8BHA3,Q8BHA3,DTD2_MOUSE,Dtd2,D-aminoacyl-tRNA deacylase 2,12773.1,29598,28489.5,24570.3,27137.5,19491.6,24201.4,25573.9
Q8BHC0,Q8BHC0,LYVE1_MOUSE,Lyve1,Lymphatic vessel endothelial hyaluronic acid receptor 1,53544.7,59437.1,58993,64016.1,57517.2,54864.8,53769.4,62053.4
Q8BHC4,Q8BHC4,DCAKD_MOUSE,Dcakd,Dephospho-CoA kinase domain-containing protein,,1431.41,3160.43,2686.63,2808.71,4259.02,2860.15,2678.8
Q8BHC7,Q8BHC7,RHBL4_MOUSE,Rhbdd1,Rhomboid-related protein 4,13522.5,18309.5,19211.8,18626.8,20521.8,17722.4,16308,17451.4
Q8BHD0,Q8BHD0,RB39A_MOUSE,Rab39a,Ras-related protein Rab-39A,,4695.29,8086.83,,,11021.9,5524.39,9252.37
Q8BHD7,Q8BHD7,PTBP3_MOUSE,Ptbp3,Polypyrimidine tract-binding protein 3,39267.5,49721.9,47609,45342,44625.9,61968.6,52556.4,47101.2
Q8BHD8,Q8BHD8,PCMD2_MOUSE,Pcmtd2,Protein-L-isoaspartate O-methyltransferase domain-containing protein 2,11480.3,9050.68,8527.73,8381.98,8015.87,8672.09,10172.1,10508.9
Q8BHE8,Q8BHE8,MAIP1_MOUSE,Maip1,"m-AAA protease-interacting protein 1, mitochondrial",156481,157083,165020,150794,156645,131609,159395,144030
Q8BHG1,Q8BHG1,NRDC_MOUSE,Nrdc,Nardilysin,123437,133320,137015,132459,137989,144885,142785,132871
Q8BHG2,Q8BHG2,CZIB_MOUSE,Czib,CXXC motif containing zinc binding protein,240344,314917,283573,252147,338883,317098,317016,318765
Q8BHG3,Q8BHG3,CC50B_MOUSE,Tmem30b,Cell cycle control protein 50B,24461.3,18274.6,21604,20034,18328.3,10665.7,21354.6,26922.5
Q8BHG3;Q8VEK0,Q8VEK0;Q8BHG3,CC50A_MOUSE;CC50B_MOUSE,Tmem30a;Tmem30b,Cell cycle control protein 50B,563819,461676,539154,575987,504878,461130,502051,533943
Q8BHG9,Q8BHG9,CGBP1_MOUSE,Cggbp1,CGG triplet repeat-binding protein 1,79622.9,98050.9,91738.3,97088.8,91999.4,97513.4,105325,97967.7
Q8BHH1,Q8BHH1,AQP11_MOUSE,Aqp11,Aquaporin-11,27977.3,27114,24872.9,32387.2,29021,20242.9,32387.3,28402.6
Q8BHI7,Q8BHI7,ELOV5_MOUSE,Elovl5,Elongation of very long chain fatty acids protein 5,17051.9,19810.7,8416.44,8302.57,13853.3,9131.05,14455.7,9834.46
Q8BHJ5,Q8BHJ5,TBL1R_MOUSE,Tbl1xr1,F-box-like/WD repeat-containing protein TBL1XR1,37922.8,38909.7,50128.5,45943.1,51265.4,49751.9,45689.8,42991.2
Q8BHJ5;Q9QXE7,Q8BHJ5;Q9QXE7,TBL1R_MOUSE;TBL1X_MOUSE,Tbl1x;Tbl1xr1,F-box-like/WD repeat-containing protein TBL1XR1,56828.5,61529.6,70372.5,55694.5,79383.2,76789.3,94623.8,68781.1
Q8BHJ6,Q8BHJ6,SERC5_MOUSE,Serinc5,Serine incorporator 5,24264.7,17856,21448,19334.8,18908.9,11347.8,14834.9,17138.2
Q8BHJ9,Q8BHJ9,SLU7_MOUSE,Slu7,Pre-mRNA-splicing factor SLU7,19537.5,24363.3,19533.1,27008.3,26170.9,16504.5,20291.1,18019.8
Q8BHL3,Q8BHL3,TB10B_MOUSE,Tbc1d10b,TBC1 domain family member 10B,19558.4,13544.3,11831.9,15868.5,18579.3,10009.8,11480.2,14256.8
Q8BHL8,Q8BHL8,PSMF1_MOUSE,Psmf1,Proteasome inhibitor PI31 subunit,73556.6,69288.4,63843.8,74008.3,73878.1,62049.5,71727.4,66269.5
Q8BHN0,Q8BHN0,PPM1L_MOUSE,Ppm1l,Protein phosphatase 1L,,,8375.59,,,3816.88,3434.64,3881.64
Q8BHN1,Q8BHN1,TXLNG_MOUSE,Txlng,Gamma-taxilin,28932.4,43894.4,33147.2,36354.4,32808.5,35305.7,31025.4,35845.1
Q8BHN3,Q8BHN3,GANAB_MOUSE,Ganab,Neutral alpha-glucosidase AB,450158,623141,640181,513259,672564,671242,637690,667008
Q8BHS3,Q8BHS3,RBM22_MOUSE,Rbm22,Pre-mRNA-splicing factor RBM22,42043.8,41384.6,39139.4,43284.6,41625,35710,36877.2,33109.5
Q8BI08,Q8BI08,MAL2_MOUSE,Mal2,Protein MAL2,447273,425873,466243,493143,485156,447705,463935,413413
Q8BI72,Q8BI72,CARF_MOUSE,Cdkn2aip,CDKN2A-interacting protein,59200,59920.6,58438.9,57556.6,60790.1,53282.6,57359.6,56433.4
Q8BI84,Q8BI84,TGO1_MOUSE,Mia3,Transport and Golgi organization protein 1 homolog,221377,243296,235802,238516,234802,213180,241060,229229
Q8BIF9,Q8BIF9,ZN787_MOUSE,Znf787,Zinc finger protein 787,,2705.41,4210.1,4591.96,,3285.86,,
Q8BIG7,Q8BIG7,CMTD1_MOUSE,Comtd1,Catechol O-methyltransferase domain-containing protein 1,19547.3,21710.2,22714.1,26735.8,23124.1,19353.7,20967.4,19052
Q8BIH0,Q8BIH0,SP130_MOUSE,Sap130,Histone deacetylase complex subunit SAP130,14072.3,11488.2,11231.6,13919.4,14069.4,8951.99,12460.8,12306.1
Q8BII1,Q8BII1,PROX2_MOUSE,Prox2,Prospero homeobox protein 2,21752.1,,,,,,,
Q8BIJ6,Q8BIJ6,SYIM_MOUSE,Iars2,"Isoleucine--tRNA ligase, mitochondrial",381647,515203,550365,492321,548913,513122,595476,536111
Q8BIJ7,Q8BIJ7,RUFY1_MOUSE,Rufy1,RUN and FYVE domain-containing protein 1,37489.5,40472.2,39957.9,36558.3,39593.8,35135.2,36118.1,38565.7
Q8BIJ7;Q9D394,Q8BIJ7;Q9D394;Q8R4C2,RUFY1_MOUSE;RUFY3_MOUSE,Rufy1;Rufy3,RUN and FYVE domain-containing protein 1,25856,25762.6,35942.6,18066.3,22985.2,32121.6,25066.7,29093.7
Q8BIL2,Q8BIL2,MSD1_MOUSE,Msantd1,Myb/SANT-like DNA-binding domain-containing protein 1,32059.4,45877.7,30430.7,34968.7,30159.7,3399.54,33274,51589.9
Q8BIL5,Q8BIL5,HOOK1_MOUSE,Hook1,Protein Hook homolog 1,10846.1,13185.4,14063.6,14323.7,14203.7,14230.7,16396.4,13486.2
Q8BIL5;Q8BUK6,Q8BIL5;Q8BUK6,HOOK1_MOUSE;HOOK3_MOUSE,Hook1;Hook3,Protein Hook homolog 1,1830.88,5301.16,3824.1,3136.53,3939.37,6109.12,4520.72,3779.3
Q8BIP0,Q8BIP0,SYDM_MOUSE,Dars2,"Aspartate--tRNA ligase, mitochondrial",34394.8,40577.5,44184.6,39857.4,41144.1,41570.7,45473.5,42166.5
Q8BIQ5,Q8BIQ5,CSTF2_MOUSE,Cstf2,Cleavage stimulation factor subunit 2,30597.6,28174.6,28657.5,30996.1,33425.9,30087.2,29464.9,32137
Q8BIQ5;Q8C7E9,Q8BIQ5;Q8C7E9,CSTF2_MOUSE;CSTFT_MOUSE,Cstf2;Cstf2t,Cleavage stimulation factor subunit 2,19701.4,15264.6,20358.9,17261,16072.8,13927.2,16586.3,23235
Q8BIW1,Q8BIW1,PRUN1_MOUSE,Prune1,Exopolyphosphatase PRUNE1,23333.2,28115.1,28199.9,28709.5,32333.4,28902.4,33122.9,34911.9
Q8BIZ6,Q8BIZ6,SNIP1_MOUSE,Snip1,Smad nuclear-interacting protein 1,9118.1,6711.32,7217.03,9887.32,8152.85,7789.95,5017.56,3826.36
Q8BJ03,Q8BJ03,COX15_MOUSE,Cox15,Cytochrome c oxidase assembly protein COX15 homolog,60861,64753,73026.6,74900,60428.6,70451.4,85824.6,58977.2
Q8BJ05,Q8BJ05,ZC3HE_MOUSE,Zc3h14,Zinc finger CCCH domain-containing protein 14,124077,128798,114336,138923,130552,119360,127714,133874
Q8BJ48,Q8BJ48,NAGPA_MOUSE,Nagpa,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,11894.9,14080.1,15228.2,12964.1,15380.6,16425.4,17923.6,21511.4
Q8BJ64,Q8BJ64,CHDH_MOUSE,Chdh,"Choline dehydrogenase, mitochondrial",665803,710867,722419,683393,695717,807732,751108,761795
Q8BJ71,Q8BJ71,NUP93_MOUSE,Nup93,Nuclear pore complex protein Nup93,6086.7,6521.65,4495.95,5260.58,3142.62,5621.68,5305.23,4996.94
Q8BJF9,Q8BJF9,CHM2B_MOUSE,Chmp2b,Charged multivesicular body protein 2b,173318,197182,189409,179404,181092,143241,167567,181573
Q8BJH1,Q8BJH1,ZC21A_MOUSE,Zc2hc1a,Zinc finger C2HC domain-containing protein 1A,25546.2,17757.8,15983.6,19334.6,22828.9,17914,14122.9,23429.8
Q8BJL1,Q8BJL1,FBX30_MOUSE,Fbxo30,F-box only protein 30,57817.1,68434.1,65161.5,75205.1,66265.6,62800.6,71449.7,66517.9
Q8BJM3,Q8BJM3,R3HCL_MOUSE,R3hcc1l,Coiled-coil domain-containing protein R3HCC1L,,16088.7,13148.2,14378.2,13895.1,15232.8,15747.5,16694.8
Q8BJM7,Q8BJM7,TYW1_MOUSE,Tyw1,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1,5363.99,5467.69,7400.58,6088.7,4653.77,5805.03,3655.33,8933.89
Q8BJT9,Q8BJT9,EDEM2_MOUSE,Edem2,ER degradation-enhancing alpha-mannosidase-like protein 2,8395.15,11119.3,,11003.8,9271.35,6533.76,9298.57,7302.11
Q8BJU0,Q8BJU0,SGTA_MOUSE,Sgta,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,86645.6,96030.6,90438,97912.8,77495.3,84718.2,85493.1,91959.9
Q8BJW6,Q8BJW6,EIF2A_MOUSE,Eif2a,Eukaryotic translation initiation factor 2A,347169,337969,349532,358369,351392,338551,341192,352209
Q8BJY1,Q8BJY1,PSMD5_MOUSE,Psmd5,26S proteasome non-ATPase regulatory subunit 5,125894,151306,150271,146302,169380,167652,175885,168658
Q8BJZ4,Q8BJZ4,RT35_MOUSE,Mrps35,Small ribosomal subunit protein mS35,15160.3,27127.2,24097.3,24283.6,31608.6,23028.3,25375.4,32946.3
Q8BK08,Q8BK08,TMM11_MOUSE,Tmem11,"Transmembrane protein 11, mitochondrial",132311,154972,143380,124124,145815,166777,175184,146306
Q8BK30,Q8BK30,NDUV3_MOUSE,Ndufv3,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",15424.4,29514.3,33307.2,22489.3,28633.6,27139.9,26645.7,26223.3
Q8BK35,Q8BK35,NOP53_MOUSE,Nop53,Ribosome biogenesis protein NOP53,,,7055.68,15885.5,,7553.8,13709.5,11820.9
Q8BK48,Q8BK48,EST2E_MOUSE,Ces2e,Pyrethroid hydrolase Ces2e,238699,333636,352027,275072,355946,347430,317553,339423
Q8BK48;Q8QZR3;Q91WG0,Q8BK48;Q8QZR3;Q91WG0;Q6AW46,EST2A_MOUSE;EST2C_MOUSE;EST2E_MOUSE,Ces2a;Ces2c;Ces2e,Pyrethroid hydrolase Ces2e,119033,221263,314915,182238,251562,344138,247696,289443
Q8BK58,Q8BK58,HBAP1_MOUSE,Hspbap1,HSPB1-associated protein 1,11445.4,8960.29,7385.36,9678.33,10691.6,10322.9,8505.2,11935.5
Q8BK64,Q8BK64,AHSA1_MOUSE,Ahsa1,Activator of 90 kDa heat shock protein ATPase homolog 1,580715,580911,602653,628993,580999,546169,628467,606114
Q8BK67,Q8BK67,RCC2_MOUSE,Rcc2,Protein RCC2,7891.32,11341.7,12476.3,13505.5,10943,9605.05,10530.2,13207.4
Q8BK72,Q8BK72,RT27_MOUSE,Mrps27,Small ribosomal subunit protein mS27,55621.4,63946.4,62380.3,64135.6,70141.4,54356.2,65609.5,64386.5
Q8BK75,Q8BK75,ELP6_MOUSE,Elp6,Elongator complex protein 6,33987,32785.6,38504.4,39091,37938.8,31445.5,35407.2,35592.2
Q8BKC5,Q8BKC5,IPO5_MOUSE,Ipo5,Importin-5,41835.5,41880.1,45478.9,36768.5,52182.8,41782.3,45337.8,40818.8
Q8BKC8,Q8BKC8,PI4KB_MOUSE,Pi4kb,Phosphatidylinositol 4-kinase beta,22450.8,30065,23036.7,16248.5,28228.7,20022.5,25482.6,21341.4
Q8BKE6,Q8BKE6,CP20A_MOUSE,Cyp20a1,Cytochrome P450 20A1,22222.8,19670.2,14153.2,19465.4,19395.6,17581.5,15167.9,18344.5
Q8BKI2,Q8BKI2,TNR6B_MOUSE,Tnrc6b,Trinucleotide repeat-containing gene 6B protein,49172.5,58889.9,60451.6,63002.9,54423.7,50789.6,54718.3,52852.1
Q8BKT7,Q8BKT7,THOC5_MOUSE,Thoc5,THO complex subunit 5 homolog,20200.3,16578.9,28269.6,23117,25680.2,17281.2,23901.4,27258.8
Q8BKT8,Q8BKT8,HAUS7_MOUSE,Haus7,HAUS augmin-like complex subunit 7,10303.1,7091.88,8328.8,9943.81,7649.07,9362.18,8002.61,6657.29
Q8BKU8,Q8BKU8,TM87B_MOUSE,Tmem87b,Transmembrane protein 87B,19832.9,29378.5,37130.5,21319.8,30950.2,25484.2,34664.1,23115.5
Q8BKX1,Q8BKX1,BAIP2_MOUSE,Baiap2,Brain-specific angiogenesis inhibitor 1-associated protein 2,149036,149289,149862,143418,141003,147785,154484,155970
Q8BKX6,Q8BKX6,SMG1_MOUSE,Smg1,Serine/threonine-protein kinase SMG1,,,59149.8,92090.1,703357,84292.7,187962,169110
Q8BKZ9,Q8BKZ9,ODPX_MOUSE,Pdhx,"Pyruvate dehydrogenase protein X component, mitochondrial",237548,271171,262022,236097,259609,242232,258118,269306
Q8BL43,Q8BL43,RASFA_MOUSE,Rassf10,Ras association domain-containing protein 10,,,5910.63,,7710.47,12873.3,,7424
Q8BL48,Q8BL48,UNK_MOUSE,Unk,RING finger protein unkempt homolog,12243.2,18198.1,16031.1,19537.9,12380.1,11602.1,13985.1,13180
Q8BL66,Q8BL66,EEA1_MOUSE,Eea1,Early endosome antigen 1,293883,316490,316306,321779,326893,278595,314172,310612
Q8BL86,Q8BL86,MBLC2_MOUSE,Mblac2,Acyl-coenzyme A thioesterase MBLAC2,19104,22501.4,28597.7,18369.9,19980,24373.3,24704.6,30852.7
Q8BL95,Q8BL95,CF298_MOUSE,Cfap298,Cilia- and flagella-associated protein 298,,30228.7,45564.6,29974.9,24878.3,40290.2,,44697.4
Q8BL97,Q8BL97,SRSF7_MOUSE,Srsf7,Serine/arginine-rich splicing factor 7,191805,269595,280130,260177,288780,254841,229211,267722
Q8BLF1,Q8BLF1,NCEH1_MOUSE,Nceh1,Neutral cholesterol ester hydrolase 1,55599.6,56227.8,57253.4,49975.3,52441.7,61354.1,69619.4,50566.3
Q8BLH7,Q8BLH7,HIRP3_MOUSE,Hirip3,HIRA-interacting protein 3,,10684.8,8821.26,6095.24,8531.43,6465.55,8313.43,11850.1
Q8BLI0,Q8BLI0,ATL1_MOUSE,Adamtsl1,ADAMTS-like protein 1,91476.8,,,,6092.65,,109122,93228.6
Q8BLK3,Q8BLK3,LSAMP_MOUSE,Lsamp,Limbic system-associated membrane protein,7933.17,9944.47,10167.2,13466.7,12195.6,8634.58,8784.68,10862.5
Q8BLK9,Q8BLK9,KS6C1_MOUSE,Rps6kc1,Ribosomal protein S6 kinase delta-1,,,,,,2717.62,,
Q8BLN5,Q8BLN5,LSS_MOUSE,Lss,Lanosterol synthase,137490,133942,134587,138277,135283,126185,140335,146147
Q8BLX4,Q8BLX4,FUCT1_MOUSE,Slc35c1,GDP-fucose transporter 1,1784.49,,1739.58,,,,1661.36,2366.38
Q8BLY1,Q8BLY1,SMOC1_MOUSE,Smoc1,SPARC-related modular calcium-binding protein 1,36935.5,29753.2,29686.3,30411.7,31979.9,26895.1,32818,33007.4
Q8BM55,Q8BM55,TM214_MOUSE,Tmem214,Transmembrane protein 214,13394.1,16611.8,12689.6,16969.8,13082.6,13342.6,13984,11595.5
Q8BM72,Q8BM72,HSP13_MOUSE,Hspa13,Heat shock 70 kDa protein 13,25428.6,32276,35426.4,34124.2,44798.4,35857.2,33879.9,36046.4
Q8BM75,Q8BM75,ARI5B_MOUSE,Arid5b,AT-rich interactive domain-containing protein 5B,12763.9,10977,12014.3,14043,17289.5,6377.12,10324.2,14616.1
Q8BM85,Q8BM85,TBCK_MOUSE,Tbck,TBC domain-containing protein kinase-like protein,,,,,,3199.47,2767.51,
Q8BM88,Q8BM88,CATO_MOUSE,Ctso,Cathepsin O,29189.6,46220.1,53872.2,40610,37402.2,37753.2,31935.8,37811.4
Q8BMA6,Q8BMA6,SRP68_MOUSE,Srp68,Signal recognition particle subunit SRP68,29677.7,39619.1,37687.7,40033.2,38426.2,39825.4,40935.5,39144
Q8BMB3,Q8BMB3,IF4E2_MOUSE,Eif4e2,Eukaryotic translation initiation factor 4E type 2,6274.43,5916.19,6325.19,7080.86,9134.71,6775.65,6323.55,10371.6
Q8BMC4,Q8BMC4,NOP9_MOUSE,Nop9,Nucleolar protein 9,,12203.6,10716.5,13716.5,15607.2,14484.3,11467.2,
Q8BMD5,Q8BMD5,CDAC1_MOUSE,Cdadc1,Cytidine and dCMP deaminase domain-containing protein 1,,14252.8,13820.1,16891.1,25311.6,13222.8,23876,16077.1
Q8BMD6,Q8BMD6,TM260_MOUSE,Tmem260,Protein O-mannosyl-transferase TMEM260,,,16575.9,12490.6,10614.6,10107.6,9482.83,
Q8BMD8,Q8BMD8,SCMC1_MOUSE,Slc25a24,Mitochondrial adenyl nucleotide antiporter SLC25A24,19461.2,26639.1,28550.7,30453.6,24890.3,22817.9,24267.6,26139.9
