Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/0b/cd9f8e0d84ba1195e591146376f93f/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep3_R1.mzML,/nextflow_runs/work/d7/f784ad75390802c2c3b005e80fff55/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep2_R1.mzML,/nextflow_runs/work/a1/85649604e2b2415d2f64f44be281e9/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep4_R1.mzML,/nextflow_runs/work/56/7b52e7aeb74109b02169869c2d7ecc/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep4_R1.mzML,/nextflow_runs/work/1a/e8750790b3adc3a7a1a37645361f80/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep1_R1.mzML,/nextflow_runs/work/3e/0970b23559fe20edc6370815db8ee6/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep1_R1.mzML,/nextflow_runs/work/20/b9465cbeac6ea65d7bd30af785176a/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep2_R1.mzML,/nextflow_runs/work/70/9fc6e04e87ba43745794f5582a1775/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep3_R1.mzML
Q8BVR6,Q8BVR6,RSPRY_MOUSE,Rspry1,RING finger and SPRY domain-containing protein 1,5731.34,3763.6,6838.59,6088.15,4735.3,4194.02,3789.3,4461.73
Q8BVU5,Q8BVU5,NUDT9_MOUSE,Nudt9,"ADP-ribose pyrophosphatase, mitochondrial",7678.71,14505.4,15051.4,16263.8,16906.3,17143,17564,8276.01
Q8BVW3,Q8BVW3,TRI14_MOUSE,Trim14,Tripartite motif-containing protein 14,36364,21438,35504.1,26285.2,19927.8,23004.6,23149.2,34660.6
Q8BVY0,Q8BVY0,RL1D1_MOUSE,Rsl1d1,Ribosomal L1 domain-containing protein 1,18896.3,15351.4,16410.2,18382.2,14732.1,16832.8,15346.1,13677.2
Q8BW75,Q8BW75,AOFB_MOUSE,Maob,Amine oxidase [flavin-containing] B,3.25E+06,3.27E+06,3.54E+06,3.33E+06,3.69E+06,4.54E+06,5.31E+06,1.74E+06
Q8BW96,Q8BW96,KCC1D_MOUSE,Camk1d,Calcium/calmodulin-dependent protein kinase type 1D,11577.7,9208.99,8892.4,12153.7,12657.2,12170.3,10500.9,10377.4
Q8BW96;Q91YS8,Q8BW96;Q91YS8,KCC1A_MOUSE;KCC1D_MOUSE,Camk1;Camk1d,Calcium/calmodulin-dependent protein kinase type 1D,10223.3,7309.13,8743.97,20507.8,17314.6,8090.43,17700.7,10750.1
Q8BWF0,Q8BWF0,SSDH_MOUSE,Aldh5a1,"Succinate-semialdehyde dehydrogenase, mitochondrial",403957,351494,394468,393599,421504,477361,455956,253125
Q8BWG8,Q8BWG8,ARRB1_MOUSE,Arrb1,Beta-arrestin-1,31235.2,28396.2,27124.4,25430.1,35492.8,28005.6,28194.5,27657.3
Q8BWG9,Q8BWG9,CRCM1_MOUSE,Orai1,Calcium release-activated calcium channel protein 1,,3686.71,2811.89,6552.31,5430.94,13089.1,8945.73,6334.11
Q8BWH0,Q8BWH0,S38A7_MOUSE,Slc38a7,Sodium-coupled neutral amino acid transporter 7,11549.8,11752.1,,9643.9,4549.69,8063.42,,7486.21
Q8BWM0,Q8BWM0,PGES2_MOUSE,Ptges2,Prostaglandin E synthase 2,127705,122288,113280,116368,111171,124520,117083,99042.5
Q8BWN8,Q8BWN8,ACOT4_MOUSE,Acot4,Peroxisomal succinyl-coenzyme A thioesterase,50172.4,47529.6,41107.6,46930.2,47111.7,53906.6,49599.9,42989.5
Q8BWN8;Q9QYR7,O55137;Q6Q2Z6;Q8BWN8;Q9QYR7;Q32Q92,ACOT3_MOUSE;ACOT4_MOUSE,Acot3;Acot4,Peroxisomal succinyl-coenzyme A thioesterase,14237.5,39020.1,32962,38791,29723.6,29532.1,54169.8,10360.3
Q8BWN8;Q9QYR7;Q9QYR9,O55137;Q6Q2Z6;Q8BWN8;Q9QYR7;Q9QYR9;Q32Q92,ACOT2_MOUSE;ACOT3_MOUSE;ACOT4_MOUSE,Acot2;Acot3;Acot4,Peroxisomal succinyl-coenzyme A thioesterase,706644,766141,696775,713305,772278,663668,621271,830167
Q8BWP5,Q8BWP5,TTPA_MOUSE,Ttpa,Alpha-tocopherol transfer protein,443142,506031,621297,573378,622384,635849,821489,254639
Q8BWQ1,Q8BWQ1,UD2A3_MOUSE,Ugt2a3,UDP-glucuronosyltransferase 2A3,1.25E+06,1.39E+06,1.28E+06,1.26E+06,1.38E+06,1.39E+06,1.69E+06,599364
Q8BWQ6,Q8BWQ6,VP35L_MOUSE,Vps35l,VPS35 endosomal protein-sorting factor-like,25275,28507.7,18871.1,23003,5147.56,9000.79,7524.45,20364.3
Q8BWR2,Q8BWR2,PITH1_MOUSE,Pithd1,PITH domain-containing protein 1,11923.4,16385,18492.9,12333.2,9902.78,17649.5,9495.11,14291.1
Q8BWS5,Q8BWS5,GRIN3_MOUSE,Gprin3,G protein-regulated inducer of neurite outgrowth 3,65269.1,71327.4,81869.3,67293.7,77969.9,70369.8,74378.9,78818.2
Q8BWT1,Q8BWT1,THIM_MOUSE,Acaa2,"3-ketoacyl-CoA thiolase, mitochondrial",1.13E+07,1.05E+07,1.45E+07,1.21E+07,1.51E+07,1.37E+07,1.65E+07,6.84E+06
Q8BWU5,Q8BWU5,OSGEP_MOUSE,Osgep,tRNA N6-adenosine threonylcarbamoyltransferase,9377.9,12829.7,13360,13679.7,15368.5,10934.8,13420.5,16274.2
Q8BWU8,Q8BWU8,AT2L1_MOUSE,Etnppl,Ethanolamine-phosphate phospho-lyase,10540.5,15005.3,18922.7,9713.22,13686.9,17334.5,14672.8,11886.2
Q8BWW4,Q8BWW4,LARP4_MOUSE,Larp4,La-related protein 4,77304.6,87741.5,102179,105239,101677,87885.5,88192.8,90727.5
Q8BWW9,Q8BWW9,PKN2_MOUSE,Pkn2,Serine/threonine-protein kinase N2,2605.14,3272.04,4072.84,3534.34,3013.24,3357.9,1481.51,2266.17
Q8BWY2,Q8BWY2,CLC1A_MOUSE,Clec1a,C-type lectin domain family 1 member A,6844.3,2231.53,1246.64,3233.47,2135.87,3140.39,3964.69,4284.61
Q8BWY3,Q8BWY3,ERF1_MOUSE,Etf1,Eukaryotic peptide chain release factor subunit 1,16105,7748.96,8232.04,15023.6,7009.15,8057.77,9844.84,10090.6
Q8BWY4,Q8BWY4,MBLC1_MOUSE,Mblac1,Metallo-beta-lactamase domain-containing protein 1,2402.86,2249.53,4453.28,,1859.95,1618.03,1546.5,2322.24
Q8BWY7,Q8BWY7,S39AB_MOUSE,Slc39a11,Zinc transporter ZIP11,11757,16306.5,9927.56,13326.4,9651.26,12699.1,16838.4,13188
Q8BX02,Q8BX02,KANK2_MOUSE,Kank2,KN motif and ankyrin repeat domain-containing protein 2,5597.63,7968.33,4358.68,15093.5,9060.89,12757.1,10738.2,7820.13
Q8BX09,Q8BX09,RBBP5_MOUSE,Rbbp5,Retinoblastoma-binding protein 5,32812.2,25208.2,33346.7,28583.8,24921.9,22836.7,21293.8,28202.1
Q8BX10,Q8BX10,PGAM5_MOUSE,Pgam5,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",31137.1,41982.2,36344.4,40694.4,42476,41119,40025.1,44920.7
Q8BX57,Q8BX57,PXK_MOUSE,Pxk,PX domain-containing protein kinase-like protein,,,3745.16,,,3513.58,2261.11,
Q8BX70,Q8BX70,VP13C_MOUSE,Vps13c,Intermembrane lipid transfer protein VPS13C,22915.9,20521,20251.6,22824.5,20480,20493.8,18812.5,21267
Q8BX80,Q8BX80,ENASE_MOUSE,Engase,Cytosolic endo-beta-N-acetylglucosaminidase,10724.9,12385.8,11444.6,10080.1,12937.5,14071.4,13369.1,11621.4
Q8BX90,Q8BX90,FND3A_MOUSE,Fndc3a,Fibronectin type-III domain-containing protein 3A,3777.42,4252.31,9101.51,9585.71,4979.98,5845.58,6167.31,6755.08
Q8BXA1,Q8BXA1,GOLI4_MOUSE,Golim4,Golgi integral membrane protein 4,30550.1,29326.2,25999.3,29672.8,31077.3,29963.7,32796.2,26317.8
Q8BXB6,Q8BXB6,SO2B1_MOUSE,Slco2b1,Solute carrier organic anion transporter family member 2B1,421818,418965,385244,335083,426694,382662,509209,317002
Q8BXJ9,Q8BXJ9,TMM62_MOUSE,Tmem62,Transmembrane protein 62,19956.1,38359.6,24656.5,22542.1,18416.2,30474.4,27024.6,23351.4
Q8BXK8,Q8BXK8,AGAP1_MOUSE,Agap1,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1",7470.77,3719.13,4466.24,4656.31,5832.04,3336.76,4352.89,4287.9
Q8BXK8;Q8VHH5,Q8BXK8;Q8VHH5,AGAP1_MOUSE;AGAP3_MOUSE,Agap1;Agap3,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1",5494.8,9954.61,4700.7,12796.5,6672.02,4433.09,5334.17,9213.88
Q8BXN7,Q8BXN7,PPM1K_MOUSE,Ppm1k,"Protein phosphatase 1K, mitochondrial",3040.09,,,,3185.29,,2749.06,3869.19
Q8BXN9,Q8BXN9,TM87A_MOUSE,Tmem87a,Transmembrane protein 87A,,,,1429.14,2135.58,1499.98,4703.73,
Q8BXV2,Q8BXV2,BRI3B_MOUSE,Bri3bp,BRI3-binding protein,10167.3,17968.3,12955.3,,17559.9,23459.2,29506.6,
Q8BY71,Q8BY71,HAT1_MOUSE,Hat1,Histone acetyltransferase type B catalytic subunit,7856.17,,,6308.26,2655.73,3138.07,2422.08,6819.23
Q8BY87,Q8BY87,UBP47_MOUSE,Usp47,Ubiquitin carboxyl-terminal hydrolase 47,42656,42658.2,40730.3,42116.3,42361.8,33894.5,37059.1,41239.2
Q8BY89,Q8BY89,CTL2_MOUSE,Slc44a2,Choline transporter-like protein 2,42658.1,36051.9,38605.2,31603.4,32897.7,35900.9,42961.4,38254.3
Q8BYC6,Q8BYC6,TAOK3_MOUSE,Taok3,Serine/threonine-protein kinase TAO3,,,,,2316.38,,2726.8,
Q8BYH7,Q8BYH7,TBC17_MOUSE,Tbc1d17,TBC1 domain family member 17,5340.74,,3244.73,5047.2,,4557.22,4584.21,4080.09
Q8BYI8,Q8BYI8,F234B_MOUSE,Fam234b,Protein FAM234B,12124.9,8726.11,10096.4,13657.6,10415.4,11236.1,12149.7,9099.68
Q8BYK4,Q8BYK4,RDH12_MOUSE,Rdh12,Retinol dehydrogenase 12,,,8102.99,2496.19,,,4906,
Q8BYK6,Q8BYK6,YTHD3_MOUSE,Ythdf3,YTH domain-containing family protein 3,29119.2,30760.1,34510.4,35495.7,36362.8,32703.4,35020,28114.5
Q8BYK8,Q8BYK8,ZC3H6_MOUSE,Zc3h6,Zinc finger CCCH domain-containing protein 6,,151063,114256,,58273.8,,,
Q8BYM8,Q8BYM8,SYCM_MOUSE,Cars2,"Probable cysteine--tRNA ligase, mitochondrial",7946.5,8929.78,18163.7,15949.2,17186.6,11815.5,13195.3,12740.3
Q8BYR2,Q8BYR2,LATS1_MOUSE,Lats1,Serine/threonine-protein kinase LATS1,,,,,2360.21,2421.28,2460.42,
Q8BYU6,Q8BYU6,TOIP2_MOUSE,Tor1aip2,Torsin-1A-interacting protein 2,55859.3,47598.9,53744.3,55516.5,52109.9,54863.6,52199.7,51938.5
Q8BYU6;Q921T2,Q921T2;Q8BYU6,TOIP1_MOUSE;TOIP2_MOUSE,Tor1aip1;Tor1aip2,Torsin-1A-interacting protein 2,,1862.65,2766.65,,956.75,3499.19,2620.41,
Q8BYW1,Q8BYW1,RHG25_MOUSE,Arhgap25,Rho GTPase-activating protein 25,3483.01,6018.5,4940.02,,,,5824.42,4533
Q8BYW9,Q8BYW9,EOGT_MOUSE,Eogt,EGF domain-specific O-linked N-acetylglucosamine transferase,4068.85,,2880.36,4695.53,4456.25,3355.89,3378.91,3814.41
Q8BYY4,Q8BYY4,TT39B_MOUSE,Ttc39b,Tetratricopeptide repeat protein 39B,32978.7,28900.4,22946.9,30539.9,37067.4,29036.1,38059.8,25026.6
Q8BYZ1,Q8BYZ1,ABI3_MOUSE,Abi3,ABI gene family member 3,5774.5,8030.49,5717.77,6730.89,6889.55,6189.8,7234.21,7636.22
Q8BZ00,Q8BZ00,SL9A9_MOUSE,Slc9a9,Sodium/hydrogen exchanger 9,,13304.6,14601,7305.92,,,13459,9829.08
Q8BZ09,Q8BZ09,ODC_MOUSE,Slc25a21,Mitochondrial 2-oxodicarboxylate carrier,134261,131850,126416,125071,140621,129656,144069,128422
Q8BZ32;Q8C4A5,Q8BZ32;Q8C4A5,ASXL2_MOUSE;ASXL3_MOUSE,Asxl2;Asxl3,Putative Polycomb group protein ASXL2,3028.49,4421.19,9315.15,6535.7,5930.15,6309.38,7253.04,3648.22
Q8BZ47,Q8BZ47,ZN609_MOUSE,Znf609,Zinc finger protein 609,5143.23,6067.22,3492.18,5675.63,6830.11,6438.46,4884.36,6478.24
Q8BZB2,Q8BZB2,COAC_MOUSE,Ppcdc,Phosphopantothenoylcysteine decarboxylase,4827.31,2624.22,4044.72,4346.89,4948.54,7638.53,4215.34,5250.5
Q8BZF8,Q8BZF8,PGM5_MOUSE,Pgm5,Phosphoglucomutase-like protein 5,15477.3,18395,17348.8,26422.3,17637.6,16124.6,16632.9,11688.5
Q8BZI6,Q8BZI6,GUCD1_MOUSE,Gucd1,Protein GUCD1,9177.45,13107.5,9301.32,8579.18,14133.2,8108.9,10252.4,10681.1
Q8BZT9,Q8BZT9,LACC1_MOUSE,Lacc1,Purine nucleoside phosphorylase LACC1,1210.53,4102.67,,3895.88,3911.66,3352.91,3755.66,3946.46
Q8BZW2,Q8BZW2,SWAHB_MOUSE,Sowahb,Ankyrin repeat domain-containing protein SOWAHB,,,,,,,2165.38,
Q8BZW8,Q8BZW8,NHLC2_MOUSE,Nhlrc2,NHL repeat-containing protein 2,24331.1,22431.1,28135.9,29753.5,28377.9,28944.2,26797.6,29857.6
Q8BZZ3,Q8BZZ3,WWP1_MOUSE,Wwp1,NEDD4-like E3 ubiquitin-protein ligase WWP1,5505.19,7245.18,5749.84,5399.86,6506.91,8907.11,8545.84,7510.52
Q8C025,Q8C025,CHPT1_MOUSE,Chpt1,Cholinephosphotransferase 1,7582.89,6884.13,9640.08,9949.94,9091.45,8097.13,6945.51,2730.62
Q8C052,Q8C052,MAP1S_MOUSE,Map1s,Microtubule-associated protein 1S,22070.8,24136.9,23336.2,22781.8,25743.1,22224.7,16639,20185.4
Q8C078,Q8C078,KKCC2_MOUSE,Camkk2,Calcium/calmodulin-dependent protein kinase kinase 2,10739.8,5215.13,,13954.8,9449.74,,13224.7,
Q8C079,Q8C079;Q8C9H6,STRP1_MOUSE,Strip1,Striatin-interacting protein 1,4509.35,,,3153.06,4677.34,5332.26,,
Q8C080,Q8C080,SNX16_MOUSE,Snx16,Sorting nexin-16,9175.3,4921.17,,5652.19,,3083.47,3837.63,
Q8C0C0,Q8C0C0,ZHX2_MOUSE,Zhx2,Zinc fingers and homeoboxes protein 2,7565.5,7075.79,7504.87,13229.3,9485.12,8449.6,7655.01,9039.11
Q8C0D4,Q8C0D4,RHG12_MOUSE,Arhgap12,Rho GTPase-activating protein 12,14232.4,15317,13443.2,14322,13820.3,16507.8,14225,9534.07
Q8C0D5,Q8C0D5,EFL1_MOUSE,Efl1,Elongation factor-like GTPase 1,,5442.32,7556.37,,,5798.47,3165.54,9100.8
Q8C0E2,Q8C0E2,VP26B_MOUSE,Vps26b,Vacuolar protein sorting-associated protein 26B,18272.1,26004.2,22498.8,18719,27110.8,22709.9,27552.6,22986.3
Q8C0I1,Q8C0I1,ADAS_MOUSE,Agps,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",8410.78,5345.52,8447.71,7388.03,8009.66,9035.51,7757.78,7210.86
Q8C0J2,Q8C0J2,A16L1_MOUSE,Atg16l1,Autophagy-related protein 16-1,242110,279292,289614,223304,273042,289767,330831,258479
Q8C0K5,Q8C0K5,GDC_MOUSE,Slc25a16,Solute carrier family 25 member 16,52792.7,46913.9,48624.3,48003.8,48404.9,46503.1,53300.2,63674.4
Q8C0L0,Q8C0L0,TMX4_MOUSE,Tmx4,Thioredoxin-related transmembrane protein 4,,,4127.37,,12029.5,,6827.33,
Q8C0L6,Q8C0L6,PAOX_MOUSE,Paox,Peroxisomal N(1)-acetyl-spermine/spermidine oxidase,2944.5,5818.5,4900.66,2621.48,3768.39,5334.99,5755.1,2333.05
Q8C0M9,Q8C0M9,ASGL1_MOUSE,Asrgl1,Isoaspartyl peptidase/L-asparaginase,52388.4,42939.7,54645,58257.5,48387.7,53730.2,59021.3,61013.4
Q8C0Q2,Q8C0Q2,ZHX3_MOUSE,Zhx3,Zinc fingers and homeoboxes protein 3,35695.2,28056.6,35179.4,35092.6,33866.3,30174.9,28335.5,29584.5
Q8C0T5,Q8C0T5,SI1L1_MOUSE,Sipa1l1,Signal-induced proliferation-associated 1-like protein 1,4641.09,1693.86,4565.76,5053.15,2723.59,2660.28,2513.28,3379.79
Q8C0Y0,Q8C0Y0,PP4R4_MOUSE,Ppp4r4,Serine/threonine-protein phosphatase 4 regulatory subunit 4,649310,335471,409938,627432,197770,306292,229575,568908
Q8C0Z1,Q8C0Z1,F234A_MOUSE,Fam234a,Protein FAM234A,144146,113676,110887,105924,114939,116692,128418,135012
Q8C110,Q8C110,SLIK6_MOUSE,Slitrk6,SLIT and NTRK-like protein 6,1880.9,2513.64,4888.9,5696.08,,3818.68,5773.68,4466.75
Q8C129,Q8C129,LCAP_MOUSE,Lnpep,Leucyl-cystinyl aminopeptidase,23106.4,25919.6,27281.3,26141.5,23284.1,23815.5,27989.3,26874.4
Q8C138,Q8C138,ADTRP_MOUSE,Adtrp,Androgen-dependent TFPI-regulating protein,8528.77,12497.1,11952.7,12049.6,6340.97,8445.91,12442.7,4079.91
Q8C142,Q8C142,ARH_MOUSE,Ldlrap1,Low density lipoprotein receptor adapter protein 1,3616.77,,4649.31,1859.96,3977.08,2616.75,1769.82,2778.94
Q8C163,Q8C163,EXOG_MOUSE,Exog,"Nuclease EXOG, mitochondrial",5034.78,4164.07,5792.09,9865.91,6084.99,9060.04,4824.53,5525.83
Q8C165,Q8C165,P20D1_MOUSE,Pm20d1,N-fatty-acyl-amino acid synthase/hydrolase PM20D1,723984,661536,675372,620696,637872,645255,752406,601044
Q8C166,Q8C166,CPNE1_MOUSE,Cpne1,Copine-1,5518.03,7693.64,5131.27,6269.86,4327.31,5902.91,4648.82,5433.45
Q8C180,Q8C180,FRS2_MOUSE,Frs2,Fibroblast growth factor receptor substrate 2,6062.72,2494.92,3068.12,3227.51,7515.8,6057.43,5885.09,5387.79
Q8C181,Q8C181,MBNL2_MOUSE,Mbnl2,Muscleblind-like protein 2,5403.21,6113.19,11206.7,8950.47,11039.7,7453,9983.37,7128.36
Q8C181;Q9JKP5,Q9JKP5;Q8C181,MBNL1_MOUSE;MBNL2_MOUSE,Mbnl1;Mbnl2,Muscleblind-like protein 2,253110,317644,270420,273432,281458,259142,299243,253688
Q8C190,Q8C190,VP9D1_MOUSE,Vps9d1,VPS9 domain-containing protein 1,130847,118530,128178,140982,146246,110274,97061.8,142049
Q8C196,Q8C196,CPSM_MOUSE,Cps1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",2.71E+06,2.26E+06,2.81E+06,2.66E+06,2.34E+06,2.60E+06,2.22E+06,2.41E+06
Q8C1A5,Q8C1A5,THOP1_MOUSE,Thop1,Thimet oligopeptidase,52814.7,64468.1,68282.3,57193.3,70587.4,71928.7,75689.3,45843.9
Q8C1A9,Q8C1A9,ABD18_MOUSE,Abhd18,Protein ABHD18,,4123.41,,5009.75,7179.97,3999.46,3575.89,2359.16
Q8C1B1,Q8C1B1,CAMP2_MOUSE,Camsap2,Calmodulin-regulated spectrin-associated protein 2,11896.1,8887.49,7132.13,10845.8,6761.77,9480.69,5585.69,
Q8C1B7,Q8C1B7,SEP11_MOUSE,Septin11,Septin-11,86636.2,100353,89811.1,90703.1,121500,102992,143615,51246.2
Q8C1B7;Q8CHH9,Q8C1B7;Q8CHH9,SEP11_MOUSE;SEPT8_MOUSE,Septin11;Septin8,Septin-11,161492,193912,164132,181357,146613,134056,,198723
Q8C1B7;Q8CHH9;Q9R1T4,Q8C1B7;Q8CHH9;Q9R1T4,SEP11_MOUSE;SEPT6_MOUSE;SEPT8_MOUSE,Septin11;Septin6;Septin8,Septin-11,60610.6,75950.5,47815.6,69125,65470.6,56150.8,72313.6,65147.7
Q8C1B7;Q9R1T4,Q8C1B7;Q9R1T4,SEP11_MOUSE;SEPT6_MOUSE,Septin11;Septin6,Septin-11,22863.2,20172.8,13635.1,32881.6,18923.9,16936.1,17579,17631.2
Q8C1D8,Q8C1D8,IWS1_MOUSE,Iws1,Protein IWS1 homolog,8188.47,8068.59,9541.27,11770.8,4738.38,7582.3,5070.77,4280.04
Q8C1E7,Q8C1E7,TACAN_MOUSE,Tmem120a,Ion channel TACAN,,,,7204.23,,,2672.84,4411.65
Q8C1M2,Q8C1M2,ZN428_MOUSE,Znf428,Zinc finger protein 428,5630.32,5566.35,2512.69,7368.16,7069.17,5297.74,5227.77,2327.71
Q8C1Q6,Q8C1Q6,UQCC5_MOUSE,Uqcc5,Small integral membrane protein 4,,4598.3,5139.97,3626.1,6733.54,3618.3,6867.5,4984.88
Q8C1Y8,Q8C1Y8,CCZ1_MOUSE,Ccz1,Vacuolar fusion protein CCZ1 homolog,,4596.08,4977.75,5801.64,7375.85,3842.4,4435.61,
Q8C1Z8,Q8C1Z8,TM10A_MOUSE,Trmt10a,tRNA methyltransferase 10 homolog A,42243.1,17172.3,,22138.2,24043.4,27016.1,23006.4,32103.7
Q8C2B3,Q8C2B3,HDAC7_MOUSE,Hdac7,Histone deacetylase 7,12306.4,7179.24,8030.99,5750.25,5742.83,11645.6,6108.04,8233.44
Q8C2K1,Q8C2K1,DEFI6_MOUSE,Def6,Differentially expressed in FDCP 6,75830,44994.3,56985.5,55423,38510.7,,35027.8,68498.3
Q8C2Q3,Q8C2Q3,RBM14_MOUSE,Rbm14,RNA-binding protein 14,34929.3,38687.1,34431.6,38559.4,50327.6,39551.9,43810.6,26235.7
Q8C341,Q8C341,SUCO_MOUSE,Suco,SUN domain-containing ossification factor,,,,,,,1108.96,1599.82
Q8C3B8,Q8C3B8,RFT1_MOUSE,Rft1,Protein RFT1 homolog,5817.75,5138.3,,6012.34,3766.41,3954.64,4125.99,6801.99
Q8C3W1,Q8C3W1,CA198_MOUSE,,Uncharacterized protein C1orf198 homolog,23951.5,15582.6,16872.2,7937.03,17216.5,14057.9,13830,14960.7
Q8C3X2,Q8C3X2,CC90B_MOUSE,Ccdc90b,"Coiled-coil domain-containing protein 90B, mitochondrial",12891.1,12041,14279,20119.6,11825,16387.6,12476.2,11965.6
Q8C3X8,Q8C3X8,LMF2_MOUSE,Lmf2,Lipase maturation factor 2,2804.61,747.55,2407.12,1853.91,1669.48,1787.21,1610.07,4303.4
Q8C407,Q8C407,YIPF4_MOUSE,Yipf4,Protein YIPF4,15280.9,20323.8,17071.5,18675.8,19907.6,17632.2,19676.9,14766.4
Q8C4B4,Q8C4B4,U119B_MOUSE,Unc119b,Protein unc-119 homolog B,,1942.03,6359.51,5137.74,5835.41,4274.72,3982.13,5382.88
Q8C4X7,Q8C4X7,MNARL_MOUSE,Minar2,Major intrinsically disordered NOTCH2-binding receptor 1-like homolog,26202.2,37847.5,18485.2,30268.8,47208.4,39745.4,50423.4,25450.6
Q8C503,Q8C503,SIT1_MOUSE,Sit1,Signaling threshold-regulating transmembrane adapter 1,,,90666.2,,51344.2,55935.5,42478.9,84383.7
Q8C525,Q8C525,M21D2_MOUSE,Mb21d2,Nucleotidyltransferase MB21D2,19644.9,10499.6,10564,8582.88,14249.1,13006.4,9677.06,11331.5
Q8C5H8,Q8C5H8,NAKD2_MOUSE,Nadk2,"NAD kinase 2, mitochondrial",230054,216708,223851,240918,254392,252189,283006,184036
Q8C5N5,Q8C5N5,PDD2L_MOUSE,Pdcd2l,Programmed cell death protein 2-like,,,2127.94,,,1006.08,1156.56,1270.18
Q8C5P7,Q8C5P7,TDRP_MOUSE,Tdrp,Testis development-related protein,14842.1,14328.5,13088.8,14586.9,10721,10743.8,13620,15959.9
Q8C5Q4,Q8C5Q4,GRSF1_MOUSE,Grsf1,G-rich sequence factor 1,6105.41,3310.02,6758.41,,4764.68,7763.95,8910.41,
Q8C5R2,Q8C5R2,PRSR2_MOUSE,Proser2,Proline and serine-rich protein 2,31181.8,41221.4,33624.1,43655.2,28733.3,28198.3,29423.5,45046.6
Q8C5W0,Q8C5W0,CLMN_MOUSE,Clmn,Calmin,27462.4,22266.7,24586.9,25767.7,25333.8,20582.8,20841.6,26149.9
Q8C650,Q8C650,SEP10_MOUSE,Septin10,Septin-10,60529.3,54513.1,54650.2,59082.4,78359.9,60478.3,72324.8,39413.2
Q8C6B9,Q8C6B9,AROS_MOUSE,Rps19bp1,Active regulator of SIRT1,,,,,8984.47,7469.23,7626.62,10133.7
Q8C6E0,Q8C6E0,CFA36_MOUSE,Cfap36,Cilia- and flagella-associated protein 36,5211.07,4835.33,11032.2,,5360.52,6057.09,8394.04,3372.67
Q8C6G8,Q8C6G8,WDR26_MOUSE,Wdr26,WD repeat-containing protein 26,5249.72,3412.22,4069.29,3806.82,4493.7,5054.2,4045.4,4493.24
Q8C6I2,Q8C6I2,SDHF2_MOUSE,Sdhaf2,"Succinate dehydrogenase assembly factor 2, mitochondrial",34143.6,40175.4,38030.3,38577.3,37807.1,26717.8,23968.6,25242.6
Q8C729,Q8C729,HYCC2_MOUSE,Hycc2,Hyccin 2,12233.2,7176.22,5673.33,6293.46,4536.97,7551.28,5688.21,5061.76
Q8C7E7,Q8C7E7,STBD1_MOUSE,Stbd1,Starch-binding domain-containing protein 1,30430.8,31441.2,27152.9,27058.3,29621.2,21376.5,28193.5,26140.6
Q8C7E9,Q8C7E9,CSTFT_MOUSE,Cstf2t,Cleavage stimulation factor subunit 2 tau variant,2597.82,4412.69,,,3276.61,3517.7,2618.99,3859.78
Q8C7G5,Q8C7G5,APOA5_MOUSE,Apoa5,Apolipoprotein A-V,69003.4,64656,68565.4,74376.3,66282.4,79767.9,75939.4,62349
Q8C7H1,Q8C7H1,MMAA_MOUSE,Mmaa,"Methylmalonic aciduria type A homolog, mitochondrial",,,1929.57,8054.98,2662,,2053.88,635.306
Q8C7Q4;Q8VE92,Q8C7Q4;Q8VE92,RBM4B_MOUSE;RBM4_MOUSE,Rbm4;Rbm4b,RNA-binding protein 4,11887.8,18203.5,13861.5,14117.1,18014.7,18311.8,17850.2,13720.6
Q8C7R4,Q8C7R4,UBA6_MOUSE,Uba6,Ubiquitin-like modifier-activating enzyme 6,,,,,4021.9,2311.09,2196.99,3271.64
Q8C7X2,Q8C7X2,EMC1_MOUSE,Emc1,ER membrane protein complex subunit 1,12885.9,9185.76,13158.4,10275.5,9491.21,12554,9629.56,9200.41
Q8C863,Q8C863,ITCH_MOUSE,Itch,E3 ubiquitin-protein ligase Itchy,,,12202,5530.33,13746.4,17464.8,5252.46,11353.2
Q8C878,Q8C878,UBA3_MOUSE,Uba3,NEDD8-activating enzyme E1 catalytic subunit,15026.6,20213,10436.2,16121.8,16173,12778.6,14652.9,24166.6
Q8C8R3,Q8C8R3,ANK2_MOUSE,Ank2,Ankyrin-2,7534.15,6722.38,8334.5,,8224.47,8284.27,8214.19,9367.89
Q8C8R3;Q8JZQ2,Q8C8R3;Q8JZQ2,AFG32_MOUSE;ANK2_MOUSE,Afg3l2;Ank2,Ankyrin-2,,,7202.25,15311.4,11227.4,12182.2,8453.67,
